region_name,score_2020_Covid,score_2020,score_2019,score_2018,score_2017,score_2016,score_2015
Ecuador,58,66,98,91,62,,
Paraguay,58,71,137,129,66,116,116
Samoa,57,65,127,123,61,110,111
Kiribati,57,63,124,118,61,103,73
Saudi Arabia,57,63,88,79,63,66,68
Rwanda,56,59,69,58,57,48,46
China,56,61,80,75,57,56,54
Nicaragua,56,64,122,115,60,101,101
Nauru,56,61,89,80,59,70,72
Oman,56,63,88,81,62,69,70
Indonesia,56,60,85,75,58,57,56
Lesotho,55,61,80,76,59,66,68
Zambia,55,59,74,69,58,59,61
Guyana,55,63,90,85,59,74,75
Marshall Islands,55,62,121,116,58,102,67
Ghana,54,58,68,66,56,57,61
Eswatini,54,59,79,75,57,,
Malawi,54,59,77,73,58,65,67
Kenya,54,59,74,71,57,64,65
Cuba,54,57,76,71,56,60,61
El Salvador,54,66,126,124,61,110,108
Honduras,54,62,128,125,59,110,111
Colombia,54,65,129,123,61,104,104
Belarus,54,64,87,79,61,67,67
Kazakhstan,54,64,88,80,60,69,68
Bolivia,54,60,86,79,57,67,66
Tanzania,53,58,74,70,56,62,62
Namibia,53,58,75,71,57,64,65
Guatemala,53,63,128,125,58,107,108
Micronesia,53,59,116,111,55,98,64
Thailand,53,57,89,80,57,70,72
Zimbabwe,52,54,70,67,53,58,59
Cote d'Ivoire (Ivory Coast),52,55,64,62,53,,
Cape Verde,52,54,72,69,53,63,61
Uganda,52,55,72,68,54,57,58
Azerbaijan,52,59,79,71,56,61,62
Suriname,52,59,82,78,55,70,70
Palau,52,58,117,113,54,99,65
Senegal,51,54,64,61,52,53,56
Morocco,51,56,73,68,54,55,58
Papua New Guinea,50,57,83,78,54,67,69
Gambia,49,53,71,70,52,63,65
Benin,49,51,65,63,50,55,57
Armenia,49,55,76,68,54,58,60
Mozambique,49,53,65,58,51,48,49
Kyrgyzstan,49,55,74,68,53,58,59
Sierra Leone,48,52,64,63,50,56,57
Burkina Faso,48,52,64,61,50,52,53
Gabon,48,51,64,58,50,48,49
Uzbekistan,48,53,70,63,53,54,55
Algeria,48,51,63,59,50,47,47
Sao Tome and Principe,48,53,70,64,50,53,53
Dominican Republic,48,52,76,70,48,48,48
Dominican Republic,48,52,76,70,48,48,52
Dominican Republic,48,52,76,70,48,52,48
Dominican Republic,48,52,76,70,48,52,52
Niger,47,50,59,58,48,49,52
Mauritania,47,49,62,59,48,52,54
India,47,51,71,65,49,46,48
Cameroon,47,49,57,50,47,43,44
Philippines,47,50,75,68,48,60,62
Mongolia,47,50,75,67,50,57,60
Tajikistan,47,51,70,62,51,54,56
Mali,46,48,59,58,47,51,53
Guinea-Bissau,46,50,57,56,48,47,49
Guinea,46,49,59,59,47,54,55
Togo,46,48,60,58,47,50,53
Angola,46,48,61,54,47,43,44
Equatorial Guinea,46,49,60,55,47,43,45
Jordan,46,51,62,56,49,46,48
Madagascar,45,49,66,59,46,49,49
Burundi,45,48,59,52,46,42,42
Turkmenistan,45,48,63,57,47,49,52
Timor-Leste,45,52,101,95,49,84,84
Egypt,45,49,60,56,47,,
Bhutan,45,50,66,61,47,48,49
Viet Nam,44,46,65,56,46,48,51
Cambodia,44,48,66,58,46,49,51
Liberia,43,47,55,52,45,44,46
Chad,43,46,59,53,44,48,48
Central African Republic,43,46,57,52,44,44,46
Congo,42,45,52,48,43,43,43
Laos,42,45,61,56,43,45,46
Comoros,42,45,61,57,43,47,47
Haiti,42,44,61,61,42,52,52
Nigeria,41,44,50,47,42,41,42
Sri Lanka,41,44,53,45,42,35,39
