Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Traffic Commute Time Index,Pollution Index,Climate Index,Cost of Living Plus Rent Index,Passport Index,Ease of Doing Business Index,Corruption Index,Population Density,Current Covid Cases,Happiness Score
Kuwait,115.75,85.59,65.25,56.21,34.44,68.69,20.22,41.21,71.0,67.4,40.0,248,103981.0,6.102099895
Argentina,115.31,47.22,38.23,69.25,43.08,50.67,98.28,21.17,82.0,59.0,45.0,16,723132.0,5.974699974
Jordan,112.4,34.88,59.17,64.6,42.03,77.78,89.05,33.52,51.0,69.0,48.0,119,9226.0,4.6333999630000005
North Macedonia,110.46,37.15,61.33,56.38,27.61,80.23,76.3,19.58,97.0,80.7,35.0,81,17674.0,
India,108.63,54.3,56.68,67.13,46.99,78.87,64.87,15.54,51.0,71.0,41.0,414,6145291.0,3.573299885
Panama,108.36,34.23,52.81,59.93,36.48,63.09,67.84,40.09,70.0,66.6,36.0,56,111277.0,6.304800033999999
Lebanon,106.56,44.47,56.64,64.38,37.38,88.37,94.74,43.3,41.0,54.3,28.0,672,37272.0,4.771500111
Colombia,105.83,31.12,45.21,67.24,47.49,62.83,96.69,20.58,65.0,70.1,37.0,40,818203.0,6.163400172999999
Brazil,105.65,32.81,31.12,56.29,41.7,54.98,97.16,26.08,84.0,59.1,35.0,25,4748327.0,6.375599861
Morocco,105.46,35.25,51.31,45.72,36.89,70.64,91.7,22.18,56.0,73.4,41.0,80,119107.0,5.094799995
Pakistan,105.44,30.57,55.92,60.59,38.56,74.25,71.93,13.66,37.0,61.0,32.0,272,311516.0,5.69329977
Ukraine,104.77,31.8,51.15,52.33,38.65,65.08,71.42,22.31,110.0,70.2,30.0,69,204932.0,4.56069994
China,102.81,60.88,68.17,64.48,41.81,80.77,79.19,28.72,61.0,77.9,41.0,145,85384.0,5.123899937
Russia,102.31,38.94,58.88,57.59,45.3,62.79,40.36,25.89,,,28.0,9,1159573.0,5.546000004
Thailand,101.88,35.45,59.52,77.95,38.23,75.07,69.45,34.14,57.0,80.1,36.0,130,3559.0,5.9987998010000005
Hong Kong,99.05,65.32,79.3,66.08,41.46,67.69,83.64,78.35,82.0,,76.0,"6,782",5076.0,
Indonesia,97.47,25.05,54.16,60.48,43.11,66.56,74.15,24.52,60.0,69.6,40.0,141,278722.0,5.285600185
Kazakhstan,88.31,38.36,37.98,50.7,31.08,75.15,39.78,20.66,64.0,79.6,34.0,7,107833.0,6.0578999520000005
Vietnam,87.48,28.14,54.65,57.7,30.17,86.47,71.24,26.5,,69.8,37.0,290,1077.0,5.353499889
Egypt,86.54,22.41,53.08,45.84,49.78,85.65,91.98,18.04,49.0,,35.0,100,102955.0,4.151400089
Peru,85.46,33.95,31.85,56.15,48.33,84.13,97.69,26.28,73.0,68.7,36.0,25,808714.0,5.796800137000001
Philippines,85.37,23.48,57.84,67.47,44.63,74.28,60.81,23.94,50.0,62.8,34.0,361,307288.0,6.006000042
Sri Lanka,85.16,24.45,59.78,72.53,59.01,59.14,59.11,20.2,44.0,61.8,38.0,332,3363.0,4.327000141
Iran,74.14,22.69,50.75,51.7,48.01,77.45,70.99,27.28,36.0,,26.0,51,449960.0,4.672399998
Kenya,70.56,27.32,38.34,55.59,56.65,76.6,99.79,26.11,59.0,73.2,28.0,82,38168.0,4.583000183
Bangladesh,70.03,33.21,36.06,42.8,56.73,86.21,71.29,19.22,42.0,45.0,26.0,"1,169",360555.0,4.832799911
Nigeria,55.65,13.52,36.23,51.59,61.08,87.63,60.75,27.45,44.0,56.9,26.0,218,58460.0,4.724100113
